col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
30928,618567,523,3.594,0,486.546,0.000,0.000,36.454,1.000,0.000,4,524.262,-1.548,30.546,-0.441,0.184351,29.424,524.309,-1.586,30.281,-0.485,0.174365,30.517,25.196,524.813,28.142,35
30929,618587,525,3.578,0,486.546,0.000,0.000,38.454,1.000,0.000,4,524.398,0.738,27.656,-0.010,0.184351,29.424,524.445,0.691,27.454,-0.058,0.196422,27.458,22.064,524.844,25.969,35
30930,618605,528,3.688,0,486.546,0.000,0.000,41.454,1.000,0.000,4,525.062,3.602,24.570,-0.258,0.184351,29.424,525.221,3.555,24.329,-0.309,0.218385,24.424,19.091,525.349,28.142,35
30931,618625,523,3.516,0,486.374,0.000,0.000,36.626,1.000,0.000,4,524.682,-2.062,24.632,-0.410,0.184351,29.424,524.755,-2.221,24.379,-0.477,0.210073,24.606,19.437,524.708,14.674,35
30932,618645,514,3.703,0,486.374,0.000,0.000,27.626,1.000,0.000,4,522.713,-10.682,29.568,-0.835,0.184351,29.424,522.943,-10.755,29.346,-0.911,0.168453,30.176,25.093,522.151,15.938,35
30934,618685,524,3.711,0,486.374,0.000,0.000,37.626,1.000,0.000,4,523.745,0.312,28.436,-0.248,0.184351,29.424,523.894,0.130,28.245,-0.350,0.185721,28.367,23.099,523.100,25.969,35
30935,618705,530,3.680,0,486.374,0.000,0.000,43.626,1.000,0.000,4,524.898,6.255,30.061,0.198,0.184351,29.424,524.975,6.106,29.871,0.088,0.177044,29.879,24.589,524.272,25.969,35
30936,618725,515,3.758,0,486.546,0.000,0.000,28.454,1.000,0.000,4,523.073,-9.898,34.123,-0.088,0.184351,29.424,523.404,-9.975,33.943,-0.202,0.157528,33.984,28.630,522.777,28.142,35
30937,618745,531,3.602,0,486.546,0.000,0.000,44.454,1.000,0.000,4,524.535,7.927,37.157,0.328,0.184351,29.424,524.539,7.596,36.819,0.200,0.149489,36.859,31.349,524.129,28.142,35
30938,618767,530,3.586,0,486.202,0.000,0.000,43.798,1.000,0.000,4,525.011,6.117,36.885,0.046,0.184351,29.424,524.961,5.998,36.432,-0.085,0.159810,36.439,30.616,524.547,33.030,35
30939,618787,521,3.688,0,486.202,0.000,0.000,34.798,1.000,0.000,4,524.271,-4.011,37.095,-0.313,0.184351,29.424,524.326,-3.961,36.608,-0.430,0.160159,36.793,30.900,523.894,25.969,35
30940,618805,525,3.562,0,486.202,0.000,0.000,38.798,1.000,0.000,4,524.406,0.729,35.153,0.045,0.184351,29.424,524.442,0.674,34.596,-0.064,0.171935,34.600,28.651,524.083,28.142,35
30941,618825,526,3.719,0,486.546,0.000,0.000,39.454,1.000,0.000,4,524.700,1.594,34.676,0.287,0.184351,29.424,524.713,1.558,34.097,0.186,0.173623,34.132,28.206,524.410,28.142,35
30942,618845,523,3.680,0,486.546,0.000,0.000,36.454,1.000,0.000,4,524.386,-1.700,33.463,-0.066,0.184351,29.424,524.406,-1.713,32.906,-0.159,0.179075,32.931,27.034,524.152,25.969,35
30943,618865,515,3.672,0,486.202,0.000,0.000,28.798,1.000,0.000,4,522.656,-9.386,37.598,-0.504,0.184351,29.424,522.934,-9.406,36.974,-0.586,0.156525,37.318,31.476,522.601,28.142,35
30944,618885,523,3.648,0,486.202,0.000,0.000,36.798,1.000,0.000,4,522.719,0.344,37.412,-0.361,0.184351,29.424,522.944,0.066,36.757,-0.449,0.160365,36.958,31.032,522.662,31.736,35
30945,618905,525,3.656,0,486.202,0.000,0.000,38.798,1.000,0.000,4,523.140,2.281,29.950,-0.845,0.184351,29.424,523.352,2.056,29.235,-0.940,0.198428,30.119,24.142,523.094,25.969,35
30946,618925,520,3.703,0,486.031,0.000,0.000,33.969,1.000,0.000,4,522.561,-3.140,26.584,-0.539,0.184351,29.424,522.620,-3.352,26.089,-0.651,0.218407,26.512,20.722,522.511,24.943,35
30947,618945,529,3.625,0,486.031,0.000,0.000,42.969,1.000,0.000,4,523.748,6.439,28.808,-0.140,0.184351,29.424,523.860,6.380,28.358,-0.253,0.194421,28.422,22.896,524.327,14.674,35
30948,618967,534,3.734,0,486.202,0.000,0.000,47.798,1.000,0.000,4,526.127,9.652,33.256,0.289,0.184351,29.424,526.031,9.547,32.788,0.169,0.165248,32.816,27.393,526.222,28.142,35
30949,618987,526,3.617,0,486.202,0.000,0.000,39.798,1.000,0.000,4,526.104,-0.127,32.979,0.386,0.184351,29.424,526.025,-0.031,32.492,0.279,0.169689,32.570,27.043,526.186,28.142,35
30950,619007,527,3.617,0,486.202,0.000,0.000,40.798,1.000,0.000,4,526.269,0.896,26.532,0.964,0.184351,29.424,526.228,0.975,26.086,0.865,0.208276,26.834,21.245,526.320,28.142,35
30952,619045,524,3.695,0,486.202,0.000,0.000,37.798,1.000,0.000,4,525.359,-1.666,26.541,0.438,0.184351,29.424,525.242,-1.557,26.062,0.367,0.202173,26.197,20.901,525.125,16.607,35
30953,619065,519,3.719,0,486.546,0.000,0.000,32.454,1.000,0.000,4,524.187,-6.359,26.761,-0.193,0.184351,29.424,524.001,-6.242,26.218,-0.251,0.198832,26.281,21.056,523.528,14.078,35
30954,619085,529,3.672,0,486.546,0.000,0.000,42.454,1.000,0.000,4,525.074,4.813,22.764,0.543,0.184351,29.424,525.150,4.999,22.307,0.498,0.229948,22.555,17.369,524.849,14.674,35
30955,619105,521,3.750,0,486.546,0.000,0.000,34.454,1.000,0.000,4,524.323,-4.074,20.743,-0.057,0.184351,29.424,524.141,-4.150,20.524,-0.089,0.243230,20.532,15.538,524.023,16.607,35
30956,619125,525,3.617,0,486.202,0.000,0.000,38.798,1.000,0.000,4,524.448,0.677,20.121,0.153,0.184351,29.424,524.347,0.859,19.925,0.131,0.239656,19.942,15.163,524.240,15.938,35
30957,619145,529,3.773,0,486.202,0.000,0.000,42.798,1.000,0.000,4,525.287,4.552,19.304,0.075,0.184351,29.424,525.468,4.653,19.222,0.063,0.241020,19.226,14.592,525.403,14.078,35
30958,619167,521,3.602,0,486.374,0.000,0.000,34.626,1.000,0.000,4,524.754,-4.603,19.676,0.095,0.184351,29.424,524.756,-4.841,19.704,0.062,0.224153,19.708,15.290,524.606,14.078,35
30959,619187,523,3.664,0,486.374,0.000,0.000,36.626,1.000,0.000,4,524.431,-1.754,19.707,-0.073,0.184351,29.424,524.362,-1.756,19.730,-0.103,0.224275,19.741,15.314,524.259,15.938,35
30960,619207,531,3.594,0,486.374,0.000,0.000,44.626,1.000,0.000,4,525.642,6.569,21.609,0.341,0.184351,29.424,525.713,6.638,21.699,0.314,0.203440,21.797,17.363,525.682,16.607,35
30961,619225,527,3.547,0,486.546,0.000,0.000,40.454,1.000,0.000,4,525.892,1.358,16.642,0.878,0.184351,29.424,526.047,1.287,16.736,0.849,0.259633,17.457,12.924,525.937,18.778,35
30962,619245,524,3.672,0,486.546,0.000,0.000,37.454,1.000,0.000,4,525.543,-1.892,16.999,0.766,0.184351,29.424,525.542,-2.047,17.114,0.743,0.246553,17.666,13.310,525.514,16.607,35
30963,619265,524,3.703,0,486.202,0.000,0.000,37.798,1.000,0.000,4,525.259,-1.543,17.114,0.575,0.184351,29.424,525.166,-1.542,17.256,0.563,0.243645,17.573,13.292,525.185,16.607,35
30964,619285,525,3.641,0,486.202,0.000,0.000,38.798,1.000,0.000,4,525.211,-0.259,16.438,0.719,0.184351,29.424,525.125,-0.166,16.491,0.722,0.249132,17.013,12.775,525.143,15.938,35
30965,619305,528,3.641,0,486.202,0.000,0.000,41.798,1.000,0.000,4,525.725,2.789,14.983,0.536,0.184351,29.424,525.906,2.875,15.092,0.547,0.271751,15.391,11.209,525.781,15.938,35
30966,619325,519,3.797,0,486.374,0.000,0.000,32.626,1.000,0.000,4,524.485,-6.725,17.002,0.037,0.184351,29.424,524.290,-6.906,17.281,0.045,0.234097,17.283,13.237,523.132,7.110,35
30967,619345,522,3.617,0,486.374,0.000,0.000,35.626,1.000,0.000,4,524.027,-2.485,12.329,-0.570,0.184351,29.424,523.567,-2.290,12.689,-0.547,0.315587,12.988,8.889,522.900,14.674,35
30968,619365,520,3.734,0,486.374,0.000,0.000,33.626,1.000,0.000,4,523.285,-4.027,12.879,-0.765,0.184351,29.424,522.571,-3.567,13.100,-0.724,0.279307,13.624,9.819,521.855,7.110,35
30969,619387,528,3.680,0,486.374,0.000,0.000,41.626,1.000,0.000,4,523.961,4.952,13.984,-0.463,0.184351,29.424,523.831,5.586,14.502,-0.360,0.253693,14.632,10.920,523.750,7.764,35
30970,619407,532,3.703,0,486.374,0.000,0.000,45.626,1.000,0.000,4,525.443,8.039,17.290,0.023,0.184351,29.424,525.557,8.169,17.832,0.126,0.211250,17.848,14.077,526.017,8.844,35
30971,619425,527,3.695,0,486.374,0.000,0.000,40.626,1.000,0.000,4,525.730,1.557,15.215,0.419,0.184351,29.424,525.915,1.443,15.743,0.510,0.248308,16.004,12.030,526.169,18.778,35
30972,619445,528,3.719,0,486.374,0.000,0.000,41.626,1.000,0.000,4,526.148,2.270,14.404,0.291,0.184351,29.424,526.470,2.085,14.839,0.365,0.266312,14.972,10.984,526.781,7.764,35
30973,619465,521,3.758,0,486.374,0.000,0.000,34.626,1.000,0.000,4,525.199,-5.148,14.928,0.238,0.184351,29.424,525.094,-5.470,15.517,0.299,0.251518,15.606,11.681,525.005,8.110,35
30974,619485,531,3.727,0,486.374,0.000,0.000,44.626,1.000,0.000,4,526.269,5.801,16.400,0.494,0.184351,29.424,526.438,5.906,17.010,0.551,0.227456,17.313,13.375,526.865,7.764,35
30975,619505,534,3.570,0,486.374,0.000,0.000,47.626,1.000,0.000,4,527.694,7.731,18.171,0.653,0.184351,29.424,528.039,7.562,18.605,0.696,0.211748,19.090,15.048,527.999,18.026,35
30976,619525,523,3.617,0,486.374,0.000,0.000,36.626,1.000,0.000,4,526.829,-4.694,19.441,0.332,0.184351,29.424,526.997,-5.039,20.107,0.368,0.206811,20.242,16.056,527.055,16.607,35
30977,619545,524,3.672,0,486.374,0.000,0.000,37.626,1.000,0.000,4,526.307,-2.829,18.715,0.421,0.184351,29.424,526.334,-2.997,19.308,0.460,0.221344,19.520,15.199,526.426,15.938,35
30978,619565,526,3.703,0,486.374,0.000,0.000,39.626,1.000,0.000,4,526.250,-0.307,18.500,0.494,0.184351,29.424,526.258,-0.334,19.089,0.531,0.225297,19.371,15.007,526.336,15.938,35
30979,619587,521,3.609,0,486.374,0.000,0.000,34.626,1.000,0.000,4,524.643,-4.467,18.280,-0.339,0.184351,29.424,524.260,-4.226,18.801,-0.289,0.228707,18.885,14.566,524.462,15.938,35
30980,619607,525,3.625,0,486.374,0.000,0.000,38.626,1.000,0.000,4,524.709,0.357,18.170,-0.226,0.184351,29.424,524.431,0.740,18.680,-0.150,0.231585,18.703,14.372,524.580,15.938,35
30981,619627,518,3.562,0,486.374,0.000,0.000,31.626,1.000,0.000,4,523.472,-6.709,20.118,-0.485,0.184351,29.424,523.083,-6.431,20.496,-0.394,0.209580,20.652,16.324,523.131,15.938,35
